feedOne,ph,temperature,do,amonia,feedTwo,dutycycle,date,time
0,7,26,16,0.56,0,55,2021-06-30,22:46:56.539
0,7,26,15,0.56,0,55,2021-06-30,22:47:01.539
0,7,27,13,0.7,0,55,2021-06-30,22:47:06.539
0,7,26,13,0.67,0,55,2021-06-30,22:47:11.541
0,7,26,14,0.53,0,55,2021-06-30,22:47:16.543
0,7,26,15,0.58,0,55,2021-06-30,22:47:21.545
0,7,26,14,0.55,0,55,2021-06-30,22:47:26.545
0,7,27,13,0.7,0,55,2021-06-30,22:47:31.546
0,7,26,14,0.7,0,55,2021-06-30,22:47:36.545
0,6,26,13,0.69,0,55,2021-06-30,22:47:41.546
0,6,26,15,0.62,0,55,2021-06-30,22:47:46.547
0,7,26,14,0.58,0,55,2021-06-30,22:47:51.549
0,7,26,13,0.62,0,55,2021-06-30,22:47:56.549
0,7,27,13,0.7,0,55,2021-06-30,22:48:01.550
0,7,26,15,0.53,0,55,2021-06-30,22:48:06.551
0,7,26,14,0.64,0,55,2021-06-30,22:48:11.552
0,7,26,13,0.57,0,55,2021-06-30,22:48:16.552
0,7,26,15,0.6,0,55,2021-06-30,22:48:21.552
0,7,26,15,0.56,0,55,2021-06-30,22:48:26.553
0,7,26,13,0.71,0,55,2021-06-30,22:48:31.553
0,7,26,14,0.53,0,55,2021-07-01,12:46:45.212
0,7,26,14,0.53,0,55,2021-07-01,12:46:50.212
0,6,27,12,0.59,0,55,2021-07-01,12:46:55.213
0,7,26,13,0.62,0,55,2021-07-01,12:47:00.213
0,7,26,15,0.56,0,55,2021-07-01,12:47:05.213
0,8,26,14,0.58,0,55,2021-07-01,12:47:10.213
0,6,27,12,0.59,0,55,2021-07-01,12:47:15.214
0,7,26,14,0.53,0,55,2021-07-01,12:47:20.215
0,7,26,13,0.57,0,55,2021-07-01,12:47:25.215
0,7,26,15,0.56,0,55,2021-07-01,12:47:30.216
0,6,27,11,0.59,0,55,2021-07-01,12:47:35.216
0,8,26,14,0.58,0,55,2021-07-01,12:47:40.216
0,8,26,14,0.58,0,55,2021-07-01,12:47:45.217
0,7,26,15,0.56,0,55,2021-07-01,12:47:50.218
0,6,26,15,0.54,0,55,2021-07-01,12:47:55.218
0,7,26,14,0.65,0,55,2021-07-01,12:48:00.219
0,7,26,14,0.53,0,55,2021-07-01,12:48:05.218
0,7,27,13,0.66,0,55,2021-07-01,12:48:10.219
0,7,26,14,0.58,0,55,2021-07-01,12:48:15.221
0,8,26,14,0.58,0,55,2021-07-01,12:48:20.221
